titulo;preco;amount
Xiaomi Mi 11 Lite 5G Dual SIM 128 GB negro trufa 6 GB RAM;114.999;125
 Moto E7 32 GB azul aqua 2 GB RAM;22.999;1708
Samsung Galaxy A32 128 GB awesome black 4 GB RAM;48.999;3457
Samsung Galaxy S20 FE 128 GB cloud navy 6 GB RAM;89.999;2497
 Moto G20 64 GB rosa flamingo 4 GB RAM;30.999;2309
Samsung Galaxy A12 64 GB negro 4 GB RAM;34.999;2482
Samsung Galaxy M12 (5000 mAh) Dual SIM 128 GB black 4 GB RAM;37.999;697
 Moto E7i Power 32 GB naranja 2 GB RAM;20.999;696
Samsung Galaxy A03s 64 GB negro 4 GB RAM;28.999;162
Samsung Galaxy A72 128 GB awesome blue 6 GB RAM;77.999;840
Samsung Galaxy A52 128 GB awesome blue 6 GB RAM;61.999;1563
Samsung Galaxy S21 Ultra 5G 256 GB phantom black 12 GB RAM;199.999;339
Samsung Galaxy A01 Core 16 GB azul 1 GB RAM;15.999;3054
LG K51S 64 GB titan 3 GB RAM;27.999;506
Samsung Galaxy S21+ 5G 128 GB phantom silver 8 GB RAM;158.999;174
Samsung Galaxy A12 128 GB negro 4 GB RAM;35.999;2482
LG K42 64 GB gray 3 GB RAM;24.999;472
Samsung Galaxy A22 128 GB white 4 GB RAM;41.999;462
Xiaomi Mi 11 Lite 5G Dual SIM 128 GB negro trufa 6 GB RAM;114.999;125
LG K51S 64 GB titan 3 GB RAM;27.999;506
LG K41S 32 GB titanio 3 GB RAM;21.999;394
Motorola 20 Lite 128 GB gris 6 GB RAM;69.999;48
Motorola 20 Pro 256 GB blanco optic 12 GB RAM;109.999;39
Samsung Galaxy S21 5G 128 GB phantom white 8 GB RAM;136.999;249
LG K22 32 GB blue 2 GB RAM;19.999;941
Samsung Galaxy Note20 256 GB gris místico 8 GB RAM;123.999;195
Kodak Smartway M2 Dual SIM 32 GB azul 3 GB RAM;18.159;205
 Moto E6i 32 GB gris metálico 2 GB RAM;19.637;982
Nokia 1.3 16 GB cian 1 GB RAM;14.899;390
LG K40S 32 GB aurora black 2 GB RAM;20.999;25
Quantum UP32 Dual SIM 32 GB negro 1 GB RAM;14.999;273
LG K22+ 64 GB titan 3 GB RAM;22.999;331
TCL 10 SE 128 GB polar night 4 GB RAM;24.899;394
LG Velvet 128 GB aurora silver 6 GB RAM;79.999;213
Kodak Smartway L1 Pro Dual SIM 16 GB plata 1 GB RAM;10.999;140
Xiaomi Redmi Note 9 Pro (64 Mpx) Dual SIM 128 GB gris interestelar 6 GB RAM;84.999;361
Quantum YOLO Dual SIM 32 GB negro 1 GB RAM;10.536;163
LG K62 128 GB sky blue 4 GB RAM;31.999;184
LG K61 128 GB titanio 4 GB RAM;34.999;1339
TCL L10 Lite 32 GB power grey 2 GB RAM;16.599;218
Kodak Smartway F1 Dual SIM 64 GB plata 4 GB RAM;22.799;103
Alcatel 3H 64 GB twilight blue 3 GB RAM;19.890;83
Alcatel 1 16 GB negro metálico 1 GB RAM;10.560;1563
Nokia 106 (2018) 4 MB gris oscuro 4 MB RAM;6.130;512
Sansei S191 Dual SIM 3 MB negro/rojo 4 MB RAM;3.489;336
LG K52 (48 Mpx) 64 GB blue 4 GB RAM;26.999;632
Xiaomi Pocophone Poco X3 Pro Dual SIM 256 GB negro fantasma 8 GB RAM;85.999;96
Apple iPhone SE (2da generación) 128 GB - Negro;135.499;108
TCL 20 E 64 GB elegant black 3 GB RAM;22.999;86
Philco P241 Dual SIM 512 MB negro 256 MB RAM;7.339;222
Xiaomi Pocophone Poco X3 Pro Dual SIM 128 GB negro fantasma 6 GB RAM;72.199;96
Positivo Q20 Dual SIM 128 GB pearl white 4 GB RAM;27.999;12
